user_id,no_of_purchase_times
1515915625601579158,56
1515915625591659523,49
1515915625596534847,45
1515915625604175669,43
1515915625605054644,42
1515915625599634258,39
1515915625521745364,36
1515915625603840072,33
1515915625603113992,28
1515915625537999341,24
1515915625607988732,24
1515915625594005201,24
1515915625540197343,24
1515915625596222123,24
1515915625526571951,23
1515915625538189543,22
1515915625526745191,21
1515915625598030639,21
1515915625595075217,21
1515915625524628491,20
1515915625550039142,20
1515915625565183792,20
1515915625600723220,19
1515915625602773715,19
1515915625536567608,19
1515915625567754658,18
1515915625523771247,18
1515915625530137422,18
1515915625571083425,18
1515915625537732930,18
1515915625535821425,18
1515915625539492677,17
1515915625540341084,17
1515915625609266197,17
1515915625591540731,17
1515915625540596990,16
1515915625540542963,16
1515915625595799282,16
1515915625547240612,16
1515915625595203272,15
1515915625556434208,15
1515915625522755221,15
1515915625596171348,15
1515915625401563973,15
1515915625534143343,15
1515915625538139756,15
1515915625521394012,14
1515915625596496898,14
1515915625561581574,14
1515915625522981774,14
1515915625547773774,14
1515915625608555607,14
1515915625565669009,14
1515915625543578339,14
1515915625572213407,14
1515915625572666030,13
1515915625522779180,13
1515915625592477987,13
1515915625523761189,13
1515915625565207471,13
1515915625532264305,13
1515915625415474736,13
1515915625538452920,13
1515915625597150699,13
1515915625542955565,13
1515915625606364398,12
1515915625593850015,12
1515915625556432434,12
1515915625596482712,12
1515915625556170073,12
1515915625520175322,12
1515915625599010558,12
1515915625506903608,12
1515915625527591469,12
1515915625570259986,12
1515915625531303178,12
1515915625603847709,12
1515915625564806184,12
1515915625528668185,12
1515915625524282777,11
1515915625527294941,11
1515915625483402054,11
1515915625597214140,11
1515915625532193007,11
1515915625546102834,11
1515915625603091463,11
1515915625546773409,11
1515915625531029654,11
1515915625548755527,11
1515915625606846062,11
1515915625605900703,11
1515915625607454150,11
1515915625550647957,11
1515915625520756318,11
1515915625609646735,11
1515915625529151739,11
1515915625595800062,10
1515915625597225588,10
1515915625527757175,10
1515915625605498611,10
1515915625528204003,10
1515915625599693840,10
1515915625526255463,10
1515915625541516571,10
1515915625385888878,10
1515915625561999052,10
1515915625527724300,10
1515915625604249521,10
1515915625591874305,10
1515915625606598628,10
1515915625510668770,10
1515915625536940894,10
1515915625595482518,10
1515915625572459557,10
1515915625593580792,10
1515915625573157677,10
1515915625541898831,10
1515915625596664854,10
1515915625522096756,10
1515915625604706500,10
1515915625563777169,10
1515915625604293348,10
1515915625592690083,10
1515915625605390733,10
1515915625598216695,10
1515915625592996354,10
1515915625598210308,10
1515915625520679716,10
1515915625606940342,10
1515915625598974764,10
1515915625608086273,10
1515915625565385220,10
1515915625608849102,10
1515915625595034171,10
1515915625555872974,10
1515915625566352380,10
1515915625527746214,10
1515915625595106459,10
1515915625390107328,10
1515915625537982600,10
1515915625379210214,9
1515915625604314816,9
1515915625567318234,9
1515915625355805313,9
1515915625596199956,9
1515915625606132366,9
1515915625519933981,9
1515915625604211433,9
1515915625604818139,9
1515915625525550647,9
1515915625538488828,9
1515915625565658490,9
1515915625572601819,9
1515915625591749217,9
1515915625561249998,9
1515915625538313212,9
1515915625520712323,9
1515915625461593155,9
1515915625539638201,9
1515915625530678688,9
1515915625600741673,9
1515915625529435582,9
1515915625526647141,9
1515915625572620484,9
1515915625536462822,9
1515915625524974086,9
1515915625562053884,9
1515915625543828869,9
1515915625596045749,9
1515915625542447488,9
1515915625519949698,9
1515915625534287746,9
1515915625527842400,9
1515915625534880102,9
1515915625538185093,9
1515915625537443740,9
